name,time,AccX,AccY,AccZ,MagX,MagY,MagZ,deposit,gas,id,latitude,longitude,temperature
vehicledataset,1636543199643000000,-0.091189306,-0.25501267,0.94094668,16,38,68,0,0,1,41.791833,1.95935,26.831612
vehicledataset,1636543200643000000,-0.21729179,0.066530351,1.1208838,20,38,66,0,0,1,41.79205,1.95935,26.927456
vehicledataset,1636543201643000000,-0.25305948,0.34986419,0.65590381,25,38,63,0,0,1,41.79205,1.95935,26.831612
vehicledataset,1636543202643000000,-0.019287698,-0.28553117,0.98281808,19,37,62,0,0,1,41.792283,1.9593333,26.927456
vehicledataset,1636543203643000000,-0.49208045,0.0034180731,1.0415357,16,34,64,0,0,1,41.792283,1.9593333,26.783688
vehicledataset,1636543204643000000,-0.4062624,-0.33924375,1.112949,16,31,66,0,0,1,41.7925,1.9592833,26.927456
vehicledataset,1636543205643000000,-0.080568865,-0.45179601,1.4466994,12,31,71,0,0,1,41.7925,1.9592833,26.97538
vehicledataset,1636543206643000000,-0.041261025,0.018555254,1.3867611,9,32,65,0,0,1,41.792717,1.9591667,26.639919
vehicledataset,1636543207643000000,-0.38795129,-0.27210303,0.70033876,8,28,72,0,0,1,41.792717,1.9591667,26.97538
vehicledataset,1636543208643000000,-0.14062929,0.085085604,0.87612537,12,29,70,0,0,1,41.792933,1.959,27.119148
vehicledataset,1636543209643000000,-0.29627369,0.42640461,0.75649281,7,25,72,0,0,1,41.792933,1.959,27.023302
vehicledataset,1636543210643000000,-0.1617481,0.33423872,1.4280221,1,18,72,0,0,1,41.793117,1.9587833,26.927456
vehicledataset,1636543211643000000,-0.021729179,0.015381329,1.1681265,-3,16,74,0,0,1,41.793117,1.9587833,26.831612
vehicledataset,1636543212643000000,-0.0073244423,0.038819544,0.78017518,-5,14,70,0,0,1,41.793283,1.9585,26.927456
vehicledataset,1636543213643000000,-0.33118686,0.00036622211,1.0111393,-4,16,73,0,0,1,41.793283,1.9585,26.831612
vehicledataset,1636543214643000000,-0.18079165,0.060426649,0.92483291,-6,19,65,0,0,1,41.7934,1.9581833,26.831612
vehicledataset,1636543215643000000,-0.19019135,0.05017243,1.071688,-4,18,69,0,0,1,41.7934,1.9581833,26.97538
vehicledataset,1636543216643000000,-0.086428419,0.20422987,1.3246254,-8,17,72,0,0,1,41.7935,1.9578833,27.16707
vehicledataset,1636543217643000000,-0.12512589,0.21448408,1.1998657,-7,19,65,0,0,1,41.7935,1.9578833,26.97538
vehicledataset,1636543218643000000,-0.042603839,-0.20496231,1.1201514,-3,17,68,0,0,1,41.7936,1.9576,27.023302
vehicledataset,1636543219643000000,0.036133915,0.097170934,1.1258889,-8,14,71,0,0,1,41.7936,1.9576,27.262917
vehicledataset,1636543220643000000,-0.088991974,0.17175817,0.84450819,-10,15,67,0,0,1,41.793683,1.9573333,27.119148
vehicledataset,1636543221643000000,-0.39820551,-0.011352886,1.0426344,-4,20,66,0,0,1,41.793683,1.9573333,27.119148
vehicledataset,1636543222643000000,-0.75380718,0.01843318,1.0415357,-7,16,65,0,0,1,41.793767,1.9571,27.023302
vehicledataset,1636543223643000000,-0.26685385,-0.023804437,1.0559404,-6,20,67,0,0,1,41.793767,1.9571,26.97538
vehicledataset,1636543224643000000,-0.17969298,0.10144353,1.0633869,-9,16,65,0,0,1,41.79385,1.9568833,26.97538
vehicledataset,1636543225643000000,-0.25269326,0.086428419,0.89162877,-4,18,69,0,0,1,41.79385,1.9568833,27.16707
vehicledataset,1636543226643000000,-0.18250069,0.028199103,0.97866756,-6,11,66,0,0,1,41.793883,1.9568,27.262917
vehicledataset,1636543227643000000,-0.22070986,-0.010132145,1.116245,-6,10,71,0,0,1,41.793883,1.9568,27.023302
vehicledataset,1636543228643000000,-0.17017121,-0.057008576,1.0061342,-5,14,72,0,0,1,41.7939,1.9567667,26.97538
vehicledataset,1636543229643000000,-0.15222633,0.036988433,0.93398846,-5,12,72,0,0,1,41.7939,1.9567667,27.16707
vehicledataset,1636543230643000000,-0.075563829,-0.0078127384,1.0248115,-4,12,72,0,0,1,41.7939,1.95675,27.16707
vehicledataset,1636543231643000000,-0.00012207404,-0.0058595538,1.1988891,-4,11,69,0,0,1,41.793917,1.95675,27.119148
vehicledataset,1636543232643000000,0.4278695,-0.046754357,1.1257668,-13,6,67,0,0,1,41.793917,1.95675,27.023302
vehicledataset,1636543233643000000,0.45216224,-0.2633137,0.7297586,-7,15,64,0,0,1,41.793917,1.9567167,27.119148
vehicledataset,1636543234643000000,-0.14807581,0.15417951,1.0935392,-8,20,69,0,0,1,41.793917,1.9567167,27.119148
vehicledataset,1636543235643000000,0.071779534,0.16919462,0.80886258,-8,21,66,0,0,1,41.79395,1.9565667,27.16707
vehicledataset,1636543236643000000,-0.052735984,0.60377819,1.0228584,-13,19,57,0,0,1,41.79395,1.9565667,27.262917
vehicledataset,1636543237643000000,-0.11365093,0.010620441,0.73574023,-10,29,51,0,0,1,41.794033,1.9563833,27.262917
vehicledataset,1636543238643000000,-0.13061922,0.21485031,1.3238929,-7,32,59,0,0,1,41.794033,1.9563833,27.023302
vehicledataset,1636543239643000000,-0.12195196,-0.013183996,1.1868038,6,37,61,0,0,1,41.794167,1.9562,27.310841
vehicledataset,1636543240643000000,-0.024048585,0.043946654,0.86184271,12,39,67,0,0,1,41.794167,1.9562,27.023302
vehicledataset,1636543241643000000,-0.17529832,0.025513474,1.0967132,13,36,69,0,0,1,41.794367,1.9561,27.16707
vehicledataset,1636543242643000000,0.0017090365,0.19116794,1.0498367,14,35,67,0,0,1,41.794367,1.9561,27.023302
vehicledataset,1636543243643000000,-0.19507431,-0.053712577,0.9831843,15,35,67,0,0,1,41.7946,1.95605,27.119148
vehicledataset,1636543244643000000,-0.29273354,-0.059083834,0.76638081,22,30,65,0,0,1,41.7946,1.95605,27.119148
vehicledataset,1636543245643000000,-0.39747307,-0.089114048,0.99209571,20,30,69,0,0,1,41.794783,1.9560333,27.358763
vehicledataset,1636543246643000000,-0.25098422,-0.0023194067,0.78786584,19,33,69,0,0,1,41.794783,1.9560333,27.310841
vehicledataset,1636543247643000000,-0.069582202,0.081667531,1.0976897,20,31,68,0,0,1,41.794967,1.956,27.262917
vehicledataset,1636543248643000000,-0.053834651,0.093020417,1.0141911,19,32,69,0,0,1,41.794967,1.956,27.310841
vehicledataset,1636543249643000000,-0.11902219,0.036744285,0.70680868,21,36,66,0,0,1,41.795133,1.9559667,27.262917
vehicledataset,1636543250643000000,-0.40821558,-0.031983398,0.97061068,19,32,64,0,0,1,41.795133,1.9559667,27.358763
vehicledataset,1636543251643000000,-0.18482009,-0.040528581,0.95095676,21,32,66,0,0,1,41.795283,1.9559333,27.454609
vehicledataset,1636543252643000000,0.13440352,0.015991699,0.83559679,21,34,64,0,0,1,41.795283,1.9559333,27.310841
vehicledataset,1636543253643000000,0.098879971,-0.17261269,0.99197363,20,32,61,0,0,1,41.795467,1.9559167,27.454609
vehicledataset,1636543254643000000,0.14734336,0.03295999,1.2148808,18,33,64,0,0,1,41.795467,1.9559167,27.16707
vehicledataset,1636543255643000000,-0.24695578,-0.17883847,0.2722251,21,36,60,0,0,1,41.795633,1.9559,27.310841
vehicledataset,1636543256643000000,0.11243019,0.06591998,1.0559404,18,34,66,0,0,1,41.795633,1.9559,27.454609
vehicledataset,1636543257643000000,-0.090578936,0.064333018,1.0541093,17,31,69,0,0,1,41.795833,1.95585,27.646299
vehicledataset,1636543258643000000,-0.062135685,-0.13415937,1.3484298,22,33,64,0,0,1,41.795833,1.95585,27.550453
vehicledataset,1636543259643000000,-0.11853389,-0.065675832,0.81008332,20,35,71,0,0,1,41.79605,1.9558167,27.502531
vehicledataset,1636543260643000000,-0.3206885,0.18774987,0.93130284,21,35,65,0,0,1,41.79605,1.9558167,27.454609
vehicledataset,1636543261643000000,-0.49208045,-0.098025452,0.90627766,20,34,65,0,0,1,41.796317,1.95575,27.502531
vehicledataset,1636543262643000000,-0.51466414,0.019775994,0.71132542,22,31,68,0,0,1,41.796317,1.95575,27.358763
vehicledataset,1636543263643000000,0.48634297,-0.19129002,1.6936552,18,33,65,0,0,1,41.796517,1.9557333,27.550453
vehicledataset,1636543264643000000,-0.15771966,-0.092410047,0.28052614,19,39,66,0,0,1,41.796517,1.9557333,27.550453
vehicledataset,1636543265643000000,0.032227546,0.20618305,1.1217383,19,32,65,0,0,1,41.796717,1.9557167,27.550453
vehicledataset,1636543266643000000,0.021973327,0.13122959,1.1493271,21,35,65,0,0,1,41.796717,1.9557167,27.646299
vehicledataset,1636543267643000000,-0.38111515,0.10730308,1.0788903,21,34,70,0,0,1,41.7969,1.9556833,27.790068
vehicledataset,1636543268643000000,-0.31543931,0.13452559,1.0365307,19,34,66,0,0,1,41.7971,1.95565,27.694221
vehicledataset,1636543269643000000,-0.020752586,-0.13074129,1.0777917,14,32,67,0,0,1,41.7971,1.95565,27.646299
vehicledataset,1636543270643000000,0.094363231,0.071413312,1.0845058,11,27,70,0,0,1,41.7973,1.9555833,27.790068
vehicledataset,1636543271643000000,-0.28943754,0.01782281,0.94497513,15,30,70,0,0,1,41.7973,1.9555833,27.550453
vehicledataset,1636543272643000000,0.064821314,0.25318155,1.3086337,11,29,64,0,0,1,41.797467,1.9554833,27.694221
vehicledataset,1636543273643000000,-0.29187902,0.0073244423,1.1780145,6,26,65,0,0,1,41.797467,1.9554833,27.694221
vehicledataset,1636543274643000000,-0.17688528,-0.034791101,1.147496,8,29,65,0,0,1,41.797617,1.9553333,27.885914
vehicledataset,1636543275643000000,-0.2755211,-0.17175817,0.73293252,16,32,67,0,0,1,41.797617,1.9553333,27.83799
vehicledataset,1636543276643000000,-0.043092135,-0.12121952,1.0232246,16,21,72,0,0,1,41.797767,1.9552167,27.790068
vehicledataset,1636543277643000000,0.11987671,0.003173925,0.9606006,8,16,76,0,0,1,41.797767,1.9552167,27.98176
vehicledataset,1636543278643000000,-0.045777764,-0.014526811,1.0583819,-3,9,70,0,0,1,41.797883,1.9551167,27.790068
vehicledataset,1636543279643000000,-0.12891018,0.13122959,1.0180975,-4,11,69,0,0,1,41.797883,1.9551167,27.646299
vehicledataset,1636543280643000000,-0.19336528,-0.0067140721,0.97000031,-3,9,68,0,0,1,41.797933,1.95495,27.83799
vehicledataset,1636543281643000000,0.063600574,0.034302805,1.0115055,-6,9,64,0,0,1,41.797933,1.95495,27.98176
vehicledataset,1636543282643000000,-0.16040529,-0.10632649,1.2129276,-1,15,61,0,0,1,41.797983,1.9548333,27.885914
vehicledataset,1636543283643000000,-0.20728172,-0.063112278,0.97024445,2,19,72,0,0,1,41.797983,1.9548333,28.077606
vehicledataset,1636543284643000000,-0.084719382,0.017456587,1.2836085,2,22,68,0,0,1,41.798033,1.9547167,27.694221
vehicledataset,1636543285643000000,-0.20935698,0.015381329,1.0762047,3,23,71,0,0,1,41.798033,1.9547167,27.98176
vehicledataset,1636543286643000000,-0.23584704,-0.022217475,0.89187292,1,22,68,0,0,1,41.798067,1.9546333,27.885914
vehicledataset,1636543287643000000,-0.25611133,0.046388134,1.0127262,-3,19,73,0,0,1,41.798067,1.9546333,27.98176
vehicledataset,1636543288643000000,-0.051026948,-0.00012207404,0.90969573,-1,18,72,0,0,1,41.798083,1.9546333,28.029682
vehicledataset,1636543289643000000,0.067140721,0.047120579,1.1516465,0,19,68,0,0,1,41.798083,1.9546333,28.17345
vehicledataset,1636543290643000000,-0.022339549,-0.11279641,1.1924192,7,17,72,0,0,1,41.798083,1.9546167,27.98176
vehicledataset,1636543291643000000,-0.041749321,0.10522782,1.380047,8,-2,81,0,0,1,41.798083,1.9546167,28.17345
vehicledataset,1636543292643000000,0.1612598,0.079958495,1.3700369,2,-21,80,0,0,1,41.798117,1.9545833,27.83799
vehicledataset,1636543293643000000,0.17200232,0.18420972,0.72939238,-1,-23,73,0,0,1,41.798117,1.9545833,27.885914
vehicledataset,1636543294643000000,0.25598926,-0.11816767,0.62892544,-1,-19,71,0,0,1,41.79815,1.9544833,27.885914
vehicledataset,1636543295643000000,0.20862453,0.11804559,1.0077212,0,-19,73,0,0,1,41.79815,1.9544833,28.029682
vehicledataset,1636543296643000000,0.26526688,-0.02478103,1.1902219,2,-20,69,0,0,1,41.798133,1.9543667,28.077606
vehicledataset,1636543297643000000,-0.27723014,0.074831385,1.0022279,-1,-17,70,0,0,1,41.798133,1.9543667,27.98176
vehicledataset,1636543298643000000,0.34534745,-0.058473464,0.99246193,4,-22,73,0,0,1,41.798083,1.9542,28.077606
vehicledataset,1636543299643000000,-0.23950926,0.0091555528,1.1861934,-1,-21,76,0,0,1,41.798083,1.9542,28.17345
